,reaction,lb,ub
291,HMR_9336,0.0,1000
292,HMR_9337,0.0,1000
293,HMR_9338,0.0,1000
294,HMR_9339,0.0,1000
295,HMR_9340,0.0,1000
296,HMR_9341,0.0,1000
297,HMR_9342,0.0,1000
298,HMR_9343,0.0,1000
299,HMR_9344,0.0,1000
300,HMR_9345,0.0,1000
301,HMR_9346,0.0,1000
302,HMR_9347,0.0,1000
303,HMR_9348,0.0,1000
304,HMR_9349,0.0,1000
305,HMR_9350,0.0,1000
306,HMR_9351,0.0,1000
307,HMR_9352,0.0,1000
308,HMR_9353,0.0,1000
309,HMR_9354,0.0,1000
310,HMR_9355,0.0,1000
311,HMR_9356,0.0,1000
312,HMR_9357,0.0,1000
313,HMR_9358,0.0,1000
314,HMR_9359,0.0,1000
315,HMR_9360,0.0,1000
316,HMR_9362,0.0,1000
317,HMR_9363,0.0,1000
318,HMR_9364,0.0,1000
319,HMR_9365,0.0,1000
320,HMR_9366,0.0,1000
321,HMR_9367,0.0,1000
322,HMR_9368,0.0,1000
323,HMR_9369,0.0,1000
324,HMR_9370,0.0,1000
325,HMR_9371,0.0,1000
326,HMR_9372,0.0,1000
327,HMR_9373,0.0,1000
328,HMR_9374,0.0,1000
329,HMR_9375,0.0,1000
330,HMR_9376,0.0,1000
331,HMR_9377,0.0,1000
332,HMR_9379,0.0,1000
333,HMR_9380,0.0,1000
334,HMR_9381,0.0,1000
335,HMR_9382,0.0,1000
336,HMR_9383,0.0,1000
337,HMR_9384,0.0,1000
338,HMR_9385,0.0,1000
339,HMR_9386,0.0,1000
340,HMR_9387,0.0,1000
341,HMR_9388,0.0,1000
342,HMR_9389,0.0,1000
343,HMR_9390,0.0,1000
344,HMR_9391,0.0,1000
345,HMR_9392,0.0,1000
346,HMR_9393,0.0,1000
347,HMR_9394,0.0,1000
348,HMR_9395,0.0,1000
349,HMR_9396,0.0,1000
350,HMR_9397,0.0,1000
351,HMR_9398,0.0,1000
352,HMR_9399,0.0,1000
353,HMR_9400,0.0,1000
354,HMR_9401,0.0,1000
355,HMR_9404,0.0,1000
356,HMR_9405,0.0,1000
357,HMR_9406,0.0,1000
358,HMR_9407,0.0,1000
359,HMR_9408,0.0,1000
360,HMR_9409,0.0,1000
361,HMR_9410,0.0,1000
362,HMR_9411,0.0,1000
363,HMR_9412,0.0,1000
364,HMR_9413,0.0,1000
365,HMR_9414,0.0,1000
366,HMR_9415,0.0,1000
367,HMR_9416,0.0,1000
368,HMR_9417,0.0,1000
369,HMR_9418,0.0,1000
370,HMR_9419,0.0,1000
371,HMR_9420,0.0,1000
372,HMR_9421,0.0,1000
373,HMR_9422,0.0,1000
374,HMR_9423,0.0,1000
375,HMR_9424,0.0,1000
376,HMR_9425,0.0,1000
377,HMR_9426,0.0,1000
378,HMR_9427,0.0,1000
379,HMR_9428,0.0,1000
380,HMR_9429,0.0,1000
381,HMR_9430,0.0,1000
382,HMR_9431,0.0,1000
383,HMR_9432,0.0,1000
384,HMR_9433,0.0,1000
385,HMR_9434,0.0,1000
386,HMR_9435,0.0,1000
387,HMR_9436,0.0,1000
388,HMR_9437,0.0,1000
389,HMR_9438,0.0,1000
390,HMR_9439,0.0,1000
391,HMR_9440,0.0,1000
392,HMR_9441,0.0,1000
393,HMR_9442,0.0,1000
394,HMR_9443,0.0,1000
395,HMR_9444,0.0,1000
396,HMR_9445,0.0,1000
397,HMR_9446,0.0,1000
398,HMR_9447,0.0,1000
399,HMR_9448,0.0,1000
400,HMR_9449,0.0,1000
401,HMR_9450,0.0,1000
402,HMR_9451,0.0,1000
403,HMR_9452,0.0,1000
404,HMR_9453,0.0,1000
405,HMR_9454,0.0,1000
406,HMR_9455,0.0,1000
407,HMR_9456,0.0,1000
408,HMR_9457,0.0,1000
409,HMR_9458,0.0,1000
410,HMR_9460,0.0,1000
411,HMR_9461,0.0,1000
412,HMR_9462,0.0,1000
413,HMR_9463,0.0,1000
414,HMR_9681,0.0,1000
415,HMR_9682,0.0,1000
416,HMR_9683,0.0,1000
417,HMR_9684,0.0,1000
418,HMR_9685,0.0,1000
419,HMR_9686,0.0,1000
420,HMR_9687,0.0,1000
421,HMR_9688,0.0,1000
422,HMR_9689,0.0,1000
423,HMR_9690,0.0,1000
424,HMR_9691,0.0,1000
425,HMR_9692,0.0,1000
426,HMR_9693,0.0,1000
427,HMR_9694,0.0,1000
428,HMR_9695,0.0,1000
429,HMR_9696,0.0,1000
430,HMR_9697,0.0,1000
431,HMR_9698,0.0,1000
432,HMR_9699,0.0,1000
433,HMR_9700,0.0,1000
434,HMR_9701,0.0,1000
435,HMR_9702,0.0,1000
436,HMR_9703,0.0,1000
437,HMR_9704,0.0,1000
438,HMR_9705,0.0,1000
439,HMR_9706,0.0,1000
440,HMR_9707,0.0,1000
441,HMR_9708,0.0,1000
442,HMR_9709,0.0,1000
443,HMR_9710,0.0,1000
444,HMR_9711,0.0,1000
445,HMR_9712,0.0,1000
446,HMR_9713,0.0,1000
447,HMR_9714,0.0,1000
448,HMR_9715,0.0,1000
449,HMR_9721,0.0,1000
450,HMR_9729,0.0,1000
451,HMR_9730,0.0,1000
452,EX_1glyc_hs[e],0.0,1000
453,EX_9_cis_retfa[e],0.0,1000
454,EX_adrn[e],0.0,1000
455,EX_arach[e],0.0,1000
456,EX_arachd[e],0.0,1000
457,EX_atp[e],0.0,1000
458,EX_bvite[e],0.0,1000
459,EX_clpnd[e],0.0,1000
460,EX_crmp_hs[e],0.0,1000
461,EX_crvnc[e],0.0,1000
462,EX_dag_hs[e],0.0,1000
463,EX_dcsptn1[e],0.0,1000
464,EX_dlnlcg[e],0.0,1000
465,EX_eicostet[e],0.0,1000
466,EX_elaid[e],0.0,1000
467,EX_fucfuc12gal14acglcgalgluside_hs[e],0.0,1000
468,EX_fucfucgalacglcgalgluside_hs[e],0.0,1000
469,EX_glyc_S[e],0.0,1000
470,EX_glygn2[e],0.0,1000
471,EX_glygn4[e],0.0,1000
472,EX_glygn5[e],0.0,1000
473,EX_hdca[e],0.0,1000
474,EX_hdcea[e],0.0,1000
475,EX_hexc[e],0.0,1000
476,EX_hista[e],0.0,1000
477,EX_hpdca[e],0.0,1000
478,EX_lgnc[e],0.0,1000
479,EX_lneldc[e],0.0,1000
480,EX_lnlncg[e],0.0,1000
481,EX_lpchol_hs[e],0.0,1000
482,EX_mag_hs[e],0.0,1000
483,EX_nrvnc[e],0.0,1000
484,EX_ocdca[e],0.0,1000
485,EX_ocdcea[e],0.0,1000
486,EX_pchol_hs[e],0.0,1000
487,EX_pe_hs[e],0.0,1000
488,EX_pglyc_hs[e],0.0,1000
489,EX_phyt[e],0.0,1000
